timestamp,name,symbol,price_usd,vol_24h,total_vol,chg_24h,chg_7d,market_cap
2025-12-16 18:48:17,Wrapped eETH,weeth,"$3,185.53","$20,045,832.00",0.01%,-2.56%,-5.54%,"$8,677,085,265"
2025-12-16 18:48:17,MemeCore,m,$1.64,"$14,826,105.00",0.01%,-5.10%,+22.65%,"$2,815,561,770"
2025-12-16 18:48:17,Canton,cc,$0.07,"$16,374,023.00",0.01%,+3.78%,+0.28%,"$2,691,595,716"
2025-12-16 18:48:17,Rain,rain,$0.01,"$21,958,545.00",0.01%,-0.22%,+3.02%,"$2,643,001,385"
2025-12-16 18:48:17,Lido Staked Ether,steth,"$2,942.19","$45,907,087.00",0.02%,-2.35%,-5.60%,"$25,710,837,577"
2025-12-16 18:48:17,sUSDS,susds,$1.07,"$51,310,194.00",0.02%,-1.00%,-0.62%,"$4,649,373,341"
2025-12-16 18:48:17,Cronos,cro,$0.10,"$34,295,008.00",0.02%,+1.30%,-8.15%,"$3,559,737,393"
2025-12-16 18:48:17,Ethena Staked USDe,susde,$1.21,"$37,612,703.00",0.02%,+0.09%,+0.22%,"$3,453,373,397"
2025-12-16 18:48:17,Wrapped stETH,wsteth,"$3,592.44","$54,188,206.00",0.03%,-2.51%,-5.65%,"$11,323,857,581"
2025-12-16 18:48:17,WhiteBIT Coin,wbt,$58.18,"$74,529,638.00",0.04%,-0.52%,-4.12%,"$12,423,064,819"
2025-12-16 18:48:17,PayPal USD,pyusd,$1.00,"$93,007,567.00",0.04%,+0.03%,+0.04%,"$3,874,697,966"
2025-12-16 18:48:17,World Liberty Financial,wlfi,$0.13,"$88,461,297.00",0.04%,-1.01%,-10.59%,"$3,620,026,494"
2025-12-16 18:48:17,Ethena USDe,usde,$1.00,"$107,916,829.00",0.05%,+0.04%,+0.05%,"$6,468,700,633"
2025-12-16 18:48:17,Dai,dai,$1.00,"$109,615,372.00",0.05%,+0.05%,+0.08%,"$4,353,240,267"
2025-12-16 18:48:17,Hedera,hbar,$0.12,"$124,858,626.00",0.06%,+0.51%,-14.85%,"$4,880,913,712"
2025-12-16 18:48:17,Shiba Inu,shib,$0.00,"$130,773,994.00",0.06%,-0.49%,-8.22%,"$4,650,040,951"
2025-12-16 18:48:17,Toncoin,ton,$1.55,"$123,018,144.00",0.06%,+2.49%,-4.93%,"$3,783,505,218"
2025-12-16 18:48:17,Stellar,xlm,$0.22,"$152,836,228.00",0.07%,-0.21%,-8.20%,"$7,155,140,362"
2025-12-16 18:48:17,Monero,xmr,$427.42,"$167,690,115.00",0.08%,+4.09%,+17.97%,"$7,882,782,959"
2025-12-16 18:48:17,Mantle,mnt,$1.25,"$201,949,694.00",0.10%,+0.90%,+13.28%,"$4,064,932,346"
2025-12-16 18:48:17,Polkadot,dot,$1.90,"$213,517,604.00",0.10%,+0.42%,-10.39%,"$3,131,692,703"
2025-12-16 18:48:17,WETH,weth,"$2,939.11","$240,830,100.00",0.11%,-2.26%,-5.74%,"$7,612,364,808"
2025-12-16 18:48:17,Wrapped Bitcoin,wbtc,"$87,129.00","$266,097,998.00",0.13%,+0.31%,-3.32%,"$10,866,606,506"
2025-12-16 18:48:17,Uniswap,uni,$5.19,"$309,393,379.00",0.15%,+1.35%,-5.52%,"$3,269,308,722"
2025-12-16 18:48:17,USDT0,usdt0,$1.00,"$335,186,378.00",0.16%,+0.01%,-0.02%,"$4,828,087,638"
2025-12-16 18:48:17,Bitcoin Cash,bch,$548.73,"$381,370,233.00",0.18%,+0.99%,-5.41%,"$10,943,428,228"
2025-12-16 18:48:17,Hyperliquid,hype,$27.11,"$381,440,811.00",0.18%,-2.53%,-2.90%,"$7,316,647,852"
2025-12-16 18:48:17,Aave,aave,$187.24,"$380,592,151.00",0.18%,+1.67%,-0.30%,"$2,844,261,684"
2025-12-16 18:48:17,Avalanche,avax,$12.23,"$430,870,604.00",0.20%,-2.28%,-10.33%,"$5,250,758,156"
2025-12-16 18:48:17,Coinbase Wrapped BTC,cbbtc,"$87,295.00","$486,462,607.00",0.23%,+0.41%,-3.31%,"$6,373,988,524"
2025-12-16 18:48:17,USD1,usd1,$1.00,"$498,747,087.00",0.24%,-0.02%,+0.01%,"$2,740,078,106"
2025-12-16 18:48:17,Litecoin,ltc,$78.62,"$529,162,448.00",0.25%,+0.87%,-6.04%,"$6,010,871,631"
2025-12-16 18:48:17,TRON,trx,$0.28,"$642,896,889.00",0.30%,-0.08%,-0.19%,"$26,535,309,514"
2025-12-16 18:48:17,Cardano,ada,$0.39,"$701,131,280.00",0.33%,+0.50%,-13.99%,"$14,181,433,331"
2025-12-16 18:48:17,Chainlink,link,$12.92,"$702,795,335.00",0.33%,+0.71%,-5.61%,"$9,006,664,475"
2025-12-16 18:48:17,Sui,sui,$1.52,"$918,911,855.00",0.43%,+1.92%,-5.40%,"$5,648,432,465"
2025-12-16 18:48:17,Zcash,zec,$399.85,"$975,980,573.00",0.46%,-3.55%,-5.85%,"$6,534,863,266"
2025-12-16 18:48:17,Dogecoin,doge,$0.13,"$1,338,522,316.00",0.63%,+0.52%,-6.33%,"$20,007,266,423"
2025-12-16 18:48:17,Binance Bridged USDT (BNB Smart Chain),bsc-usd,$1.00,"$1,708,247,939.00",0.81%,+0.07%,+0.01%,"$8,987,838,350"
2025-12-16 18:48:17,BNB,bnb,$872.88,"$1,967,820,203.00",0.93%,+1.80%,-1.38%,"$120,228,928,716"
2025-12-16 18:48:17,Ethereum,eth,"$2,948.92","$30,521,141,611.00",14.39%,-2.21%,-5.32%,"$354,273,002,586"
2025-12-16 18:48:17,XRP,xrp,$1.93,"$4,257,362,260.00",2.01%,+0.23%,-6.48%,"$116,607,270,564"
2025-12-16 18:48:17,Solana,sol,$128.55,"$5,587,621,750.00",2.63%,+0.74%,-2.92%,"$72,162,944,638"
2025-12-16 18:48:17,Bitcoin,btc,"$87,500.00","$56,130,639,651.00",26.47%,+0.37%,-3.08%,"$1,740,642,883,035"
2025-12-16 18:48:17,Tether,usdt,$1.00,"$87,197,151,264.00",41.11%,-0.02%,-0.02%,"$186,296,724,107"
2025-12-16 18:48:17,USDC,usdc,$1.00,"$13,273,433,139.00",6.26%,+0.02%,+0.03%,"$78,292,486,323"
2025-12-16 18:29:27,LEO Token,leo,$9.21,"$435,187.00",0.00%,-0.55%,-3.67%,"$8,493,702,047"
2025-12-16 18:29:27,Figure Heloc,figr_heloc,$1.03,"$11,953,454.00",0.01%,+1.90%,+0.11%,"$14,693,225,193"
2025-12-16 18:29:27,Wrapped Beacon ETH,wbeth,"$3,166.31","$14,637,309.00",0.01%,-2.91%,-6.44%,"$10,336,335,037"
2025-12-16 18:29:27,USDS,usds,$1.00,"$12,472,799.00",0.01%,+0.01%,-0.00%,"$9,906,065,891"
2025-12-16 18:29:27,Wrapped eETH,weeth,"$3,160.78","$19,879,765.00",0.01%,-2.81%,-6.28%,"$8,650,238,862"
2025-12-16 18:29:27,MemeCore,m,$1.64,"$14,746,484.00",0.01%,-5.54%,+22.11%,"$2,807,402,158"
2025-12-16 18:29:27,Canton,cc,$0.07,"$16,567,623.00",0.01%,+4.08%,-0.08%,"$2,682,128,381"
2025-12-16 18:29:27,Rain,rain,$0.01,"$21,917,662.00",0.01%,+1.00%,+2.38%,"$2,631,201,793"
2025-12-16 18:29:27,Lido Staked Ether,steth,"$2,920.11","$45,173,997.00",0.02%,-2.49%,-6.31%,"$25,656,303,122"
2025-12-16 18:29:27,sUSDS,susds,$1.07,"$50,296,836.00",0.02%,-1.26%,-1.40%,"$4,659,026,018"
2025-12-16 18:29:27,Cronos,cro,$0.10,"$36,079,040.00",0.02%,+1.52%,-8.10%,"$3,570,877,988"
2025-12-16 18:29:27,Ethena Staked USDe,susde,$1.20,"$41,872,198.00",0.02%,-0.56%,-0.31%,"$3,443,176,750"
2025-12-16 18:29:27,Wrapped stETH,wsteth,"$3,566.39","$54,395,797.00",0.03%,-2.97%,-6.33%,"$11,303,404,313"
2025-12-16 18:29:27,PayPal USD,pyusd,$1.00,"$89,542,983.00",0.04%,+0.00%,+0.01%,"$3,872,535,819"
2025-12-16 18:29:27,World Liberty Financial,wlfi,$0.13,"$86,976,765.00",0.04%,-1.02%,-11.03%,"$3,612,644,160"
2025-12-16 18:29:27,WhiteBIT Coin,wbt,$57.85,"$106,396,174.00",0.05%,-0.70%,-4.66%,"$12,397,734,154"
2025-12-16 18:29:27,Ethena USDe,usde,$1.00,"$109,092,262.00",0.05%,-0.31%,-0.26%,"$6,457,544,649"
2025-12-16 18:29:27,Dai,dai,$1.00,"$108,840,670.00",0.05%,-0.16%,-0.06%,"$4,353,499,244"
2025-12-16 18:29:27,Toncoin,ton,$1.53,"$110,795,008.00",0.05%,+1.57%,-5.70%,"$3,756,657,651"
2025-12-16 18:29:27,Hedera,hbar,$0.11,"$126,216,303.00",0.06%,+0.29%,-15.36%,"$4,864,415,867"
2025-12-16 18:29:27,Shiba Inu,shib,$0.00,"$123,919,405.00",0.06%,-0.78%,-8.63%,"$4,637,646,094"
2025-12-16 18:29:27,Stellar,xlm,$0.22,"$145,377,598.00",0.07%,-1.03%,-8.82%,"$7,132,943,676"
2025-12-16 18:29:27,Monero,xmr,$423.80,"$164,442,690.00",0.08%,+3.45%,+16.97%,"$7,808,171,504"
2025-12-16 18:29:27,WETH,weth,"$2,916.36","$196,968,906.00",0.09%,-2.93%,-6.47%,"$7,587,088,116"
2025-12-16 18:29:27,Mantle,mnt,$1.25,"$200,117,493.00",0.09%,+2.38%,+13.13%,"$4,075,812,502"
2025-12-16 18:29:27,Polkadot,dot,$1.89,"$218,142,338.00",0.10%,+0.23%,-10.89%,"$3,125,082,991"
2025-12-16 18:29:27,USDT0,usdt0,$1.00,"$224,942,351.00",0.11%,-0.15%,-0.06%,"$4,824,594,904"
2025-12-16 18:29:27,Wrapped Bitcoin,wbtc,"$86,688.00","$274,608,794.00",0.13%,+0.20%,-3.81%,"$10,859,824,284"
2025-12-16 18:29:27,Uniswap,uni,$5.16,"$314,906,472.00",0.15%,+0.94%,-6.00%,"$3,270,157,249"
2025-12-16 18:29:27,Bitcoin Cash,bch,$545.20,"$362,873,036.00",0.17%,-0.19%,-6.02%,"$10,888,972,223"
2025-12-16 18:29:27,Hyperliquid,hype,$26.93,"$387,930,551.00",0.18%,-3.97%,-3.55%,"$7,354,462,757"
2025-12-16 18:29:27,Aave,aave,$185.95,"$385,964,953.00",0.18%,+0.15%,-0.99%,"$2,837,154,101"
2025-12-16 18:29:27,Avalanche,avax,$12.13,"$432,043,838.00",0.20%,-3.26%,-11.04%,"$5,218,337,039"
2025-12-16 18:29:27,Coinbase Wrapped BTC,cbbtc,"$87,096.00","$489,013,271.00",0.23%,+0.30%,-3.53%,"$6,367,902,502"
2025-12-16 18:29:27,USD1,usd1,$1.00,"$504,897,183.00",0.24%,-0.04%,+0.01%,"$2,741,111,809"
2025-12-16 18:29:27,Litecoin,ltc,$78.22,"$535,020,223.00",0.25%,+0.28%,-6.52%,"$5,995,619,244"
2025-12-16 18:29:27,TRON,trx,$0.28,"$652,999,173.00",0.31%,+0.15%,-0.26%,"$26,519,146,143"
